pair,age_left,age_right,gender_left,gender_right,quality_left,quality_right,liklihood,boxlx,boxly,boxlwidth,boxlheight,boxrx,boxry,boxrwidth,boxrheight
458,0.635296,0.152758,0.689169,0.563027,1.20918,1.63093,0.829258,327,161,134,195,51,42,107,129,
465,0.967987,0.152758,1.03559,0.563027,4.77619,1.63093,0.808776,467,132,173,242,51,42,107,129,
466,0.953549,0.152758,0.780641,0.563027,1.15672,1.63093,0.79869,481,161,159,232,51,42,107,129,
467,0.301976,0.152758,0.0538733,0.563027,3.26791,1.63093,0.805712,473,138,167,244,51,42,107,129,
468,0.266993,0.152758,0.366936,0.563027,2.87871,1.63093,0.789012,462,174,178,231,51,42,107,129,
469,0.0184231,0.152758,1.01145,0.563027,2.24587,1.63093,0.724013,464,168,176,229,51,42,107,129,
470,0.15078,0.152758,0.258577,0.563027,1.11697,1.63093,0.805599,466,197,165,204,51,42,107,129,
471,0.227875,0.152758,0.65211,0.563027,1.70681,1.63093,0.80576,467,183,173,216,51,42,107,129,
483,0.486045,0.152758,0.257561,0.563027,1.06104,1.63093,0.533842,117,286,113,141,51,42,107,129,
545,0.784365,0.285398,0.786416,0.965198,1.96191,2.11343,0.579052,182,50,219,283,60,36,124,147,
585,0.568488,0.812691,1.01633,0.84253,4.49644,1.33436,0.881684,116,198,110,157,74,40,172,223,
586,0.944199,0.812691,0.982429,0.84253,2.0968,1.33436,0.881108,413,187,142,193,74,40,172,223,
587,0.136518,0.812691,0.868451,0.84253,4.46297,1.33436,0.880365,415,173,147,202,74,40,172,223,
588,0.558508,0.812691,0.980816,0.84253,3.51538,1.33436,0.872245,399,164,149,203,74,40,172,223,
598,0.0322944,0.355461,0.707357,0.641006,1.06104,3.67349,0.613392,263,248,171,217,56,62,214,276,
602,0.302676,0.304344,0.501389,0.940467,3.51485,3.04176,0.763922,222,184,155,223,74,74,141,178,
605,0.0647901,0.770832,0.0635744,0.897046,1.90906,1.8788,0.699922,171,159,158,212,51,47,112,139,
611,0.233572,0.949502,0.424399,0.99301,2.80946,2.75604,0.636651,286,73,113,173,92,61,123,148,
621,0.812711,0.0646473,0.474031,0.92583,1.29229,2.18562,0.506756,168,180,103,131,62,45,127,156,
695,0.964504,0.738511,1.03649,0.959588,1.08866,1.14719,0.835719,91,56,133,163,69,54,140,175,
696,0.734896,0.738511,0.938161,0.959588,1.06104,1.14719,0.777495,251,0,167,219,69,54,140,175,
697,0.976671,0.738511,1.01263,0.959588,1.06104,1.14719,0.767533,404,5,148,183,69,54,140,175,
709,0.107483,0.833559,1.02934,0.934804,4.21148,1.10435,0.708481,317,141,167,224,106,56,179,224,
730,0.655869,0.950231,0.64493,1.01273,6.34688,2.58417,0.819228,202,253,134,173,44,61,155,192,
732,0.119077,0.592997,0.618592,0.882272,1.9528,2.17299,0.564532,99,307,106,134,67,75,121,147,
736,0.817861,0.950231,0.0707596,1.01273,3.83627,2.58417,0.823913,42,117,156,187,44,61,155,192,
765,0.94434,0.330248,0.0184335,0.741871,1.84299,3.70834,0.527005,178,121,217,291,79,43,136,178,
766,1.00693,0.330248,1.01369,0.741871,5.80099,3.70834,0.755595,353,81,160,193,79,43,136,178,
809,0.0726292,0.742339,0.897619,1.07865,3.77259,2.38646,0.855674,386,309,156,171,67,49,169,217,
844,0.982697,0.252974,1.00232,1.01106,2.02658,3.24511,0.72405,97,0,164,206,56,51,128,158,
846,0.779052,0.252974,0.524927,1.01106,1.83299,3.24511,0.720196,100,3,165,209,56,51,128,158,
852,0.979656,0.252974,1.00193,1.01106,1.44581,3.24511,0.734403,94,67,123,146,56,51,128,158,
853,0.892349,0.252974,0.391256,1.01106,3.82799,3.24511,0.681549,223,107,115,147,56,51,128,158,
856,1.03897,0.252974,1.05313,1.01106,1.46883,3.24511,0.726152,18,38,155,188,56,51,128,158,
863,0.968878,0.252974,0.464993,1.01106,2.01742,3.24511,0.771811,179,54,142,177,56,51,128,158,
865,0.961382,0.252974,0.903862,1.01106,2.17848,3.24511,0.733186,203,117,107,133,56,51,128,158,
869,0.933853,0.252974,0.735921,1.01106,4.97518,3.24511,0.675187,213,73,128,158,56,51,128,158,
871,0.948987,0.252974,0.0150726,1.01106,2.58187,3.24511,0.617822,154,96,116,144,56,51,128,158,
875,0.94229,0.252974,1.00363,1.01106,2.40187,3.24511,0.756564,186,64,131,162,56,51,128,158,
877,0.909809,0.252974,1.03095,1.01106,2.4305,3.24511,0.746329,165,23,145,172,56,51,128,158,
905,0.0760926,0.345933,0.476586,0.815692,1.20114,2.52237,0.727671,78,159,122,182,112,43,244,304,
906,0.139129,0.345933,0.658258,0.815692,3.03014,2.52237,0.720867,6,156,138,200,112,43,244,304,
908,0.917423,0.345933,0.0679954,0.815692,1.06104,2.52237,0.568695,10,130,106,123,112,43,244,304,
931,0.25545,0.597468,0.703015,0.956518,1.20777,1.58036,0.627045,318,96,322,384,72,51,224,276,
986,0.0523471,0.597468,0.663781,0.956518,1.06104,1.58036,0.60056,246,240,166,207,72,51,224,276,
987,0.943245,0.172582,0.00348291,0.30671,1.18867,1.48587,0.737164,216,122,221,291,106,78,229,285,
988,0.969731,0.172582,0.0401931,0.30671,1.06104,1.48587,0.738063,265,128,215,304,106,78,229,285,
989,0.878305,0.172582,-0.00231048,0.30671,2.07701,1.48587,0.693713,265,204,207,276,106,78,229,285,
990,0.954849,0.172582,0.0181856,0.30671,1.06104,1.48587,0.71023,352,136,203,274,106,78,229,285,
991,0.849208,0.172582,0.0102453,0.30671,1.06104,1.48587,0.672239,133,139,236,317,106,78,229,285,
992,0.957755,0.172582,0.00542641,0.30671,1.06104,1.48587,0.697393,175,114,237,311,106,78,229,285,
993,1.01034,0.172582,0.0467886,0.30671,1.06104,1.48587,0.711615,280,83,237,356,106,78,229,285,
998,0.676384,0.131203,0.973532,0.748702,1.06104,2.34274,0.711523,215,211,109,138,117,45,293,375,
999,0.154297,0.131203,1.02895,0.748702,6.12088,2.34274,0.880804,284,206,119,161,117,45,293,375,
1000,0.50287,0.131203,0.934043,0.748702,1.06104,2.34274,0.881184,242,130,157,198,117,45,293,375,
1001,-0.0214884,0.131203,0.354427,0.748702,1.06984,2.34274,0.741046,257,111,177,218,117,45,293,375,
1002,-0.0310499,0.131203,0.751765,0.748702,1.41971,2.34274,0.728958,249,144,152,180,117,45,293,375,
1003,-0.0157668,0.131203,0.851386,0.748702,1.52556,2.34274,0.754521,267,157,137,164,117,45,293,375,
1004,0.0520786,0.131203,0.865087,0.748702,1.06104,2.34274,0.865871,253,112,174,221,117,45,293,375,
1005,0.00661249,0.131203,1.03137,0.748702,1.09432,2.34274,0.67845,251,112,176,226,117,45,293,375,
1009,0.778607,0.131203,0.336027,0.748702,1.85016,2.34274,0.838311,182,144,124,184,117,45,293,375,
1010,0.908261,0.131203,1.05871,0.748702,1.52606,2.34274,0.843643,149,169,130,175,117,45,293,375,
1011,0.866592,0.131203,1.03472,0.748702,1.35289,2.34274,0.720652,158,144,135,185,117,45,293,375,
1012,0.637842,0.131203,0.532536,0.748702,1.96865,2.34274,0.876209,142,148,153,202,117,45,293,375,
1013,-0.0387468,0.131203,1.01074,0.748702,1.48481,2.34274,0.843568,402,211,104,139,117,45,293,375,
1017,0.0535038,0.131203,1.1121,0.748702,1.89077,2.34274,0.869893,374,201,111,154,117,45,293,375,
1021,0.189733,0.393327,0.930632,1.00759,2.28569,4.95154,0.629461,43,345,103,125,153,103,257,318,
1029,0.0327036,0.258078,0.417273,1.00641,1.10865,1.08826,0.673186,53,94,153,200,90,120,324,400,
1048,1.01869,0.967269,1.0507,1.08128,1.06104,1.06104,0.810167,258,1,180,254,154,100,325,409,
1049,0.970902,0.967269,1.00353,1.08128,1.23645,1.06104,0.792419,217,144,114,144,154,100,325,409,
1062,0.807104,0.0353123,0.884701,0.0276658,2.00996,4.35642,0.551504,125,296,124,163,55,38,139,176,
1063,0.946056,0.0353123,0.450314,0.0276658,1.47977,4.35642,0.543403,119,281,134,173,55,38,139,176,
1064,-0.00239217,0.0353123,-0.00899079,0.0276658,1.42997,4.35642,0.712993,406,260,108,131,55,38,139,176,
1076,0.939464,0.574094,0.932261,1.0028,6.50314,4.01926,0.699208,59,43,191,227,105,66,319,446,
1082,0.521661,0.459221,0.716484,0.0274772,1.60977,2.95977,0.866392,395,105,128,158,110,108,265,333,
1086,0.978293,0.719144,1.01448,0.982258,5.37334,1.55026,0.580931,80,253,111,138,89,0,251,277,
1142,0.965837,0.824419,1.03908,1.00386,1.84832,1.43804,0.657232,113,147,146,210,72,48,157,201,
1143,0.747605,0.824419,0.976792,1.00386,3.17954,1.43804,0.698667,112,175,144,211,72,48,157,201,
1149,1.00997,1.00349,0.951823,0.982775,1.06623,1.82939,0.811778,69,77,218,282,59,19,117,143,
1150,0.0768539,0.471127,0.574299,0.937841,3.11338,2.24125,0.706017,193,291,126,177,60,35,119,149,
1151,0.982284,0.965477,1.00858,0.972449,1.20975,1.14963,0.77296,426,32,164,235,79,75,233,290,
1153,0.966658,0.965477,1.01446,0.972449,1.39925,1.14963,0.75045,479,61,159,197,79,75,233,290,
1156,0.999686,0.965477,1.00788,0.972449,1.18067,1.14963,0.814185,264,82,153,208,79,75,233,290,
1157,0.892754,0.965477,0.981286,0.972449,1.06104,1.14963,0.799331,158,99,144,188,79,75,233,290,
1159,0.95274,0.965477,1.01888,0.972449,1.06104,1.14963,0.783691,255,152,113,148,79,75,233,290,
1160,1.00814,0.965477,1.00724,0.972449,1.10543,1.14963,0.804104,205,43,166,226,79,75,233,290,
1161,0.996392,0.965477,0.962542,0.972449,1.06104,1.14963,0.769238,240,49,178,239,79,75,233,290,
1163,0.941694,0.965477,0.97237,0.972449,1.06104,1.14963,0.807362,310,160,107,144,79,75,233,290,
1168,0.490034,0.323376,0.220324,0.929134,1.64401,6.15941,0.916961,530,131,110,172,70,61,107,139,
1171,0.16519,0.323376,0.642969,0.929134,1.54161,6.15941,0.859325,42,69,101,138,70,61,107,139,
1172,0.276593,0.323376,0.115224,0.929134,3.17786,6.15941,0.936727,246,141,102,143,70,61,107,139,
1183,0.989749,0.898279,0.0524923,0.980418,1.06104,1.57013,0.774004,240,110,166,223,63,25,111,145,
1184,0.97374,0.898279,0.553994,0.980418,1.0615,1.57013,0.767747,181,36,170,234,63,25,111,145,
1185,0.961508,0.898279,0.480845,0.980418,1.081,1.57013,0.802448,154,71,186,234,63,25,111,145,
1186,0.551041,0.898279,0.13882,0.980418,1.64398,1.57013,0.747045,103,118,153,197,63,25,111,145,
1192,0.909421,0.412752,0.994549,-0.00320671,1.06104,1.13672,0.697809,454,235,112,142,80,43,115,152,
1201,0.279304,0.881243,0.971697,1.02491,1.06104,1.19013,0.707585,203,121,106,136,140,78,274,345,
1220,0.423093,0.607847,0.837789,1.01219,1.27271,4.30866,0.951473,291,276,105,135,74,70,160,231,
1221,0.527871,0.607847,0.867034,1.01219,2.54663,4.30866,0.962074,355,282,103,133,74,70,160,231,
1224,0.19222,0.883688,0.188262,0.645088,1.06104,1.42136,0.740669,323,188,190,254,53,0,105,127,
1231,0.99832,0.760447,0.947899,0.0344581,1.06104,6.16832,0.742432,311,256,138,174,72,40,154,210,
1232,0.971536,0.760447,0.321502,0.0344581,1.06104,6.16832,0.718966,414,245,153,211,72,40,154,210,
1233,0.132408,0.760447,0.0264602,0.0344581,1.81904,6.16832,0.722158,410,259,122,191,72,40,154,210,
1234,0.965007,0.760447,0.645839,0.0344581,1.06104,6.16832,0.749678,288,221,158,203,72,40,154,210,
1247,0.98044,0.502128,0.326189,0.43982,3.3083,2.97819,0.692456,43,277,106,133,54,44,121,149,
1249,0.68061,0.502128,1.07037,0.43982,1.57776,2.97819,0.769114,0,178,224,302,54,44,121,149,
1250,0.161222,0.502128,0.139176,0.43982,1.15973,2.97819,0.796491,240,252,119,162,54,44,121,149,
1251,0.0184758,0.502128,0.0563076,0.43982,1.56341,2.97819,0.79202,197,227,151,213,54,44,121,149,
1252,0.0768511,0.502128,0.0428163,0.43982,1.14589,2.97819,0.74435,160,241,138,184,54,44,121,149,
1253,0.0293047,0.502128,0.253526,0.43982,1.97677,2.97819,0.743031,202,257,132,174,54,44,121,149,
1254,0.443521,0.502128,0.926198,0.43982,1.0906,2.97819,0.773579,261,280,116,158,54,44,121,149,
1255,0.179279,0.502128,0.230014,0.43982,3.30806,2.97819,0.827383,348,287,129,169,54,44,121,149,
1256,0.362107,0.502128,0.521461,0.43982,3.98607,2.97819,0.777405,220,284,103,138,54,44,121,149,
1257,0.53089,0.502128,0.82752,0.43982,2.1625,2.97819,0.839552,237,293,141,172,54,44,121,149,
1260,1.02202,0.944891,0.00114365,-0.0291859,1.06104,1.10785,0.63969,326,169,132,170,56,47,134,163,
1261,1.00112,0.944891,-0.00386992,-0.0291859,1.06104,1.10785,0.639298,206,131,216,283,56,47,134,163,
1263,1.06608,0.944891,-0.0326698,-0.0291859,1.06104,1.10785,0.637439,265,149,149,185,56,47,134,163,
1264,0.425447,0.944891,0.0437729,-0.0291859,1.15955,1.10785,0.626112,293,142,149,195,56,47,134,163,
1265,1.01286,0.914343,0.048298,0.00155108,1.06104,2.70748,0.774882,99,182,165,215,90,65,137,173,
1266,0.723382,0.945423,0.229893,1.01003,2.68997,2.47689,0.61738,123,246,115,143,94,43,191,258,
1267,0.0281019,0.945423,0.771014,1.01003,4.90809,2.47689,0.627505,18,219,171,211,94,43,191,258,
1268,1.0038,1.00959,0.404686,0.916056,1.69281,1.12354,0.706307,312,128,176,216,71,45,108,134,
1269,0.950062,0.914343,-0.0196686,0.00155108,1.30952,2.70748,0.74731,258,257,101,129,90,65,137,173,
1270,0.942992,0.914343,0.0204157,0.00155108,1.18368,2.70748,0.75651,124,159,173,232,90,65,137,173,
1272,0.621685,0.466408,0.276455,0.287126,4.09341,3.89465,0.756377,294,216,130,152,50,33,108,135,
1275,0.19576,0.54918,0.108262,0.993488,1.39418,2.47431,0.684224,231,113,143,204,50,34,104,130,
1277,0.851621,0.54918,0.587404,0.993488,1.86095,2.47431,0.71332,95,321,112,147,50,34,104,130,
1278,0.953028,0.979247,0.07198,0.352037,1.22731,1.20565,0.820386,197,151,158,210,47,31,158,205,
1280,0.98378,0.966482,0.974192,1.0026,1.09449,1.31577,0.832549,243,176,174,221,78,29,166,209,
1281,0.954726,0.966482,0.475591,1.0026,1.13294,1.31577,0.792029,284,130,170,216,78,29,166,209,
1282,0.973466,0.966482,0.9901,1.0026,1.47118,1.31577,0.79347,255,83,125,157,78,29,166,209,
1283,1.01914,0.966482,0.965963,1.0026,1.46022,1.31577,0.799518,261,98,120,152,78,29,166,209,
1302,0.41374,0.379898,0.393791,0.065875,1.06104,4.6066,0.570479,246,109,192,235,59,36,116,181,
1303,0.670846,0.379898,0.76854,0.065875,1.06104,4.6066,0.597112,240,105,179,221,59,36,116,181,
1317,0.363635,0.286892,0.932936,1.01758,2.28974,4.65061,0.613506,14,136,102,141,92,88,225,279,
1322,0.676548,0.704001,1.04415,1.03578,1.42996,3.72298,0.618009,182,264,136,176,52,0,122,156,
1380,0.0185471,0.152628,-0.0133656,0.853966,1.40678,5.09354,0.503544,164,264,167,213,76,51,175,239,
1399,0.863047,0.152628,0.00271851,0.853966,1.09943,5.09354,0.496832,146,100,213,278,76,51,175,239,
1401,0.00301366,0.935604,0.00936943,0.970654,1.47292,1.10641,0.522369,282,265,105,129,71,46,131,160,
1402,-8.78721e-05,0.935604,0.634043,0.970654,1.06104,1.10641,0.576472,324,307,100,125,71,46,131,160,
1403,0.00204992,0.935604,0.74466,0.970654,1.06104,1.10641,0.577831,337,327,102,127,71,46,131,160,
1410,0.346589,0.152628,0.804502,0.853966,1.06104,5.09354,0.660953,0,207,135,201,76,51,175,239,
1412,-0.0262404,0.152628,0.0538619,0.853966,1.06104,5.09354,0.558387,73,294,124,157,76,51,175,239,
1413,0.000435963,0.152628,0.00723527,0.853966,1.11972,5.09354,0.551182,35,272,140,178,76,51,175,239,
1422,0.901173,0.152628,0.383923,0.853966,4.21567,5.09354,0.783589,123,43,217,249,76,51,175,239,
1434,0.968667,0.935417,1.03514,1.01012,1.06629,3.31758,0.756814,118,165,104,143,64,23,120,142,
1435,0.144096,0.935417,0.833877,1.01012,1.34924,3.31758,0.688291,133,182,119,151,64,23,120,142,
1436,0.961621,0.935417,0.21449,1.01012,4.7817,3.31758,0.719536,245,137,158,199,64,23,120,142,
1437,0.153764,0.491547,0.536758,0.457713,1.94594,2.42164,0.678122,409,248,121,157,78,53,136,172,
1439,0.180498,0.241778,1.00846,0.151236,1.53915,3.24323,0.632875,372,189,242,291,73,55,193,232,
1445,0.70839,0.977721,0.450764,0.561151,2.19112,1.23381,0.708248,35,143,149,176,59,31,120,161,
1446,0.978501,0.977721,-0.022048,0.561151,1.09801,1.23381,0.786058,190,218,117,145,59,31,120,161,
1450,1.0157,0.977721,0.102801,0.561151,1.08416,1.23381,0.737601,461,191,120,152,59,31,120,161,
1452,0.389048,0.304092,1.01996,0.835301,2.81393,3.95447,0.837033,171,3,151,211,130,90,175,231,
1453,0.937599,0.761417,0.471079,0.304918,3.91141,1.32435,0.689311,52,171,109,126,65,45,159,221,
1454,0.252584,0.77575,0.836038,0.972066,1.73882,4.16433,0.647332,211,131,266,309,73,64,114,148,
1469,0.0768472,0.0515992,0.435905,-0.0125911,1.34256,2.10336,0.756411,468,115,159,205,109,77,233,306,
1479,0.278362,0.984265,0.0671177,0.422705,3.82832,2.16342,0.587305,317,277,104,129,52,33,128,166,
1510,-0.0136709,0.457229,0.752796,0.418962,1.06104,4.68434,0.760755,131,176,118,154,83,66,175,227,
